analysis_time,team1,team2,team1_score,team2_score,quarter,game_clock
00:00:04,DEN,UTA,45,43,2Q,07:41
00:00:59,DEN,UTA,46,43,2Q,06:49
00:01:04,DEN,UTA,48,43,2Q,06:44
00:01:17,DEN,UTA,48,45,2Q,06:31
00:01:34,DEN,UTA,50,45,2Q,06:14
00:02:32,DEN,UTA,52,45,2Q,05:45
00:03:49,DEN,UTA,52,46,2Q,05:25
00:04:58,DEN,UTA,54,46,2Q,04:45
00:05:42,DEN,UTA,54,49,2Q,04:44
00:05:57,DEN,UTA,56,49,2Q,04:44
00:06:49,DEN,UTA,59,49,2Q,03:16
00:08:03,DEN,UTA,61,51,2Q,02:51
00:08:32,DEN,UTA,61,54,2Q,02:22
00:12:13,DEN,UTA,61,55,2Q,0.5
00:12:29,DEN,UTA,61,56,2Q,0.5
00:15:37,DEN,UTA,62,56,3Q,10:14
00:15:49,DEN,UTA,63,56,3Q,10:14
00:16:08,DEN,UTA,63,58,3Q,09:56
00:16:29,DEN,UTA,66,58,3Q,09:35
00:16:53,DEN,UTA,66,60,3Q,09:11
00:17:19,DEN,UTA,66,63,3Q,08:45
00:18:39,DEN,UTA,68,63,3Q,07:45
00:18:54,DEN,UTA,68,66,3Q,07:30
00:20:07,DEN,UTA,69,66,3Q,07:09
00:20:28,DEN,UTA,70,66,3Q,07:09
00:21:14,DEN,UTA,70,69,3Q,06:44
00:22:03,DEN,UTA,72,69,3Q,06:15
00:22:48,DEN,UTA,72,71,3Q,05:44
00:23:45,DEN,UTA,73,71,3Q,05:22
00:24:09,DEN,UTA,74,71,3Q,05:22
00:24:36,DEN,UTA,77,71,3Q,04:59
00:25:04,DEN,UTA,77,74,3Q,04:31
